date,mean,std,low_thresh,high_thresh,fwd_slope,signal
1990-01-03,,,,,,0
1990-01-31,,,,,,0
1990-02-28,,,,,,0
1990-03-28,,,,,,0
1990-04-25,,,,,,0
1990-05-23,,,,,,0
1990-06-20,,,,,,0
1990-07-18,,,,,,0
1990-08-15,,,,,,0
1990-09-12,,,,,,0
1990-10-10,,,,,,0
1990-11-07,,,,,,0
1990-12-05,,,,,,0
1991-01-02,,,,,,0
1991-01-30,,,,,,0
1991-02-27,,,,,,0
1991-03-27,,,,,,0
1991-04-24,,,,,,0
1991-05-22,,,,,,0
1991-06-19,,,,,,0
1991-07-17,,,,,,0
1991-08-14,,,,,,0
1991-09-11,,,,,,0
1991-10-09,,,,,,0
1991-11-06,,,,,,0
1991-12-04,,,,,,0
1992-01-01,,,,,,0
1992-01-29,,,,,,0
1992-02-26,,,,,,0
1992-03-25,,,,,,0
1992-04-22,,,,,,0
1992-05-20,,,,,,0
1992-06-17,,,,,,0
1992-07-15,,,,,,0
1992-08-12,,,,,,0
1992-09-09,,,,,,0
1992-10-07,,,,,,0
1992-11-04,,,,,,0
1992-12-02,,,,,,0
1992-12-30,,,,,,0
1993-01-27,,,,,,0
1993-02-24,,,,,,0
1993-03-24,,,,,,0
1993-04-21,,,,,,0
1993-05-19,,,,,,0
1993-06-16,,,,,,0
1993-07-14,,,,,,0
1993-08-11,,,,,,0
1993-09-08,,,,,,0
1993-10-06,,,,,,0
1993-11-03,,,,,-0.023173193912354,0
1993-12-01,,,,,-0.019629514903417307,0
1993-12-29,,,,,-0.019649921793933503,0
1994-01-26,,,,,-0.01888123200736299,0
1994-02-23,,,,,-0.0195347163895842,0
1994-03-23,,,,,-0.016081804373666395,0
1994-04-20,,,,,-0.013703821583408209,0
1994-05-18,,,,,-0.009611120497494699,0
1994-06-15,,,,,-0.009698241443556105,0
1994-07-13,,,,,-0.00971711980525801,0
1994-08-10,,,,,-0.008214284206585099,0
1994-09-07,,,,,-0.007993155549134504,0
1994-10-05,,,,,-0.009612729860799696,0
1994-11-02,,,,,-0.007342652294098806,0
1994-11-30,,,,,-0.0042604569105419016,0
1994-12-28,,,,,-0.0009603463362065079,0
1995-01-25,,,,,0.003412276926325994,0
1995-02-22,,,,,0.0020630053320210007,0
1995-03-22,,,,,-0.004049875663557204,0
1995-04-19,,,,,-0.006691338552470602,0
1995-05-17,,,,,-0.0090247420367639,0
1995-06-14,,,,,-0.010000953470214104,0
1995-07-12,,,,,-0.013530188114410702,0
1995-08-09,,,,,-0.012591807185785502,0
1995-09-06,,,,,-0.011393641947962892,0
1995-10-04,,,,,-0.011555136447763105,0
1995-11-01,,,,,-0.010534420557204195,0
1995-11-29,,,,,-0.012255849747697105,0
1995-12-27,,,,,-0.014266669450897197,0
1996-01-24,,,,,-0.013671906410950903,0
1996-02-21,,,,,-0.015242366037599,0
1996-03-20,,,,,-0.017299722312126807,0
1996-04-17,,,,,-0.0100514087101565,0
1996-05-15,,,,,-0.008316983607020198,0
1996-06-12,,,,,-0.007347261628745702,0
1996-07-10,,,,,-0.004635350786033193,0
1996-08-07,,,,,-0.004439896178834696,0
1996-09-04,,,,,-0.006952006633702504,0
1996-10-02,,,,,-0.005428109481687107,0
1996-10-30,,,,,-0.007514772731254699,0
1996-11-27,,,,,-0.008679712021743204,0
1996-12-25,,,,,-0.009204167513210793,0
1997-01-22,,,,,-0.006439629472348309,0
1997-02-19,,,,,-0.006272490685822307,0
1997-03-19,,,,,-0.006797421356726299,0
1997-04-16,,,,,-0.0051016569054748995,0
1997-05-14,,,,,-0.002464352276723411,0
1997-06-11,,,,,-0.003963458325984298,0
1997-07-09,,,,,-0.003574848733086,0
1997-08-06,,,,,-0.0048341405202509125,0
1997-09-03,,,,,-0.0035573755317841044,0
1997-10-01,-0.009129741879034018,0.0055771793818546475,-0.014706921260888666,-0.00355256249717937,-0.004473887064721599,0
1997-10-29,-0.00878267488133014,0.00523731233030228,-0.014019987211632421,-0.0035453625510278594,-0.005125710031752398,0
1997-11-26,-0.00850302162927919,0.0050309528085152435,-0.013533974437794433,-0.0034720688207639473,-0.0050875457967679005,0
1997-12-24,-0.0081916257213536,0.004824362323686698,-0.013015988045040297,-0.0033672633976669017,-0.0034573345818028,0
1998-01-21,-0.007911533402257176,0.004609597879047476,-0.012521131281304651,-0.0033019355232096993,-0.004316431414348995,0
1998-02-18,-0.007686193065037797,0.004306716376347566,-0.011992909441385364,-0.003379476688690231,-0.007817018854176495,0
1998-03-18,-0.00754500069366343,0.004143327423297825,-0.011688328116961254,-0.003401673270365605,-0.0087398010621993,0
1998-04-15,-0.007408585816943047,0.004052354164157985,-0.011460939981101032,-0.0033562316527850616,-0.006610247993948291,0
1998-05-13,-0.007333445667895728,0.00404693473371547,-0.011380380401611198,-0.0032865109341802586,-0.0057038327470341,0
1998-06-10,-0.007271313515172744,0.004034699506565571,-0.011306013021738314,-0.0032366140086071728,-0.006467369501960904,0
1998-07-08,-0.0071696188978846625,0.004038485960600364,-0.011208104858485026,-0.003131132937284299,-0.004428999706277803,0
1998-08-05,-0.007110268836874243,0.004045503910656511,-0.011155772747530754,-0.003064764926217732,-0.005128081034043296,0
1998-09-02,-0.007072285366181282,0.004046324168474442,-0.011118609534655724,-0.0030259611977068394,-0.0060180150731004994,0
1998-09-30,-0.007075499990350453,0.00404844785575722,-0.011123947846107672,-0.003027052134593234,-0.009779890317596601,0
1998-10-28,-0.0073160580269546836,0.004419290250225156,-0.01173534827717984,-0.0028967677767295277,-0.019851670197518802,1
1998-11-25,-0.007687980049328509,0.004940204515580773,-0.012628184564909281,-0.002747775533747736,-0.0236004020739808,1
1998-12-23,-0.0079498469761996,0.00493749997861533,-0.01288734695481493,-0.0030123469975842703,-0.014577426533503204,1
1999-01-20,-0.008316945682582328,0.004783397385486046,-0.013100343068068374,-0.0035335482970962825,-0.0156768558055759,1
1999-02-17,-0.008637845256700312,0.004630680549087776,-0.013268525805788089,-0.004007164707612536,-0.0146237725221142,1
1999-03-17,-0.008792907371302356,0.004608987358198471,-0.013401894729500827,-0.004183920013103885,-0.012113105622863496,0
1999-04-14,-0.008867513755029704,0.004605700030735931,-0.013473213785765634,-0.004261813724293773,-0.010570870506292691,0
1999-05-12,-0.008896478061852908,0.004611440533465802,-0.01350791859531871,-0.004285037528387105,-0.010530885991570496,0
1999-06-09,-0.008873109512034932,0.004608812026362159,-0.013481921538397092,-0.004264297485672773,-0.008785788879679408,0
1999-07-07,-0.008686401487523926,0.004613104801564631,-0.013299506289088558,-0.004073296685959294,-0.0038213708398383006,-1
1999-08-04,-0.008486149791901569,0.004665959393967178,-0.013152109185868746,-0.0038201903979343905,-0.0021787190134228973,-1
1999-09-01,-0.008341037259886745,0.00469103421229467,-0.013032071472181415,-0.003650003047592075,-0.0038477902831920985,0
1999-09-29,-0.00823032421498315,0.004681617842340547,-0.012911942057323697,-0.003548706372642603,-0.0057980581127762,0
1999-10-27,-0.008183815215542086,0.004670278505146909,-0.012854093720688995,-0.003513536710395178,-0.008115952586268904,0
1999-11-24,-0.00807231201986915,0.00464027154009646,-0.01271258355996561,-0.0034320404797726894,-0.00645768357270439,0
1999-12-22,-0.007899038240380803,0.0045721578370995055,-0.012471196077480307,-0.003326880403281297,-0.005256432917503107,0
2000-01-19,-0.007755211342772758,0.00450412705055285,-0.012259338393325608,-0.0032510842922199076,-0.006192907735332598,0
2000-02-16,-0.0074820607377566,0.004471744979095584,-0.011953805716852183,-0.0030103157586610163,-0.0010385345767588011,-1
2000-03-15,-0.007020578799885582,0.004672439707212809,-0.01169301850709839,-0.002348139092672773,0.006697338457166191,-1
2000-04-12,-0.006737948742296585,0.0049232753554539705,-0.011661224097750555,-0.0018146733868426145,0.004645354284471312,-1
2000-05-10,-0.0065153291654144845,0.005108708209859346,-0.01162403737527383,-0.0014066209555551384,0.003259234390848992,-1
2000-06-07,-0.00618661516225648,0.005582113419543944,-0.011768728581800425,-0.0006045017427125359,0.009745866535470507,-1
2000-07-05,-0.005987573939384505,0.005818052512287129,-0.011805626451671634,-0.00016952142709737543,0.005714792803309596,-1
2000-08-02,-0.005867265418218577,0.0059145659087845165,-0.011781831327003094,4.730049056593955e-05,0.0018161469217934934,-1
2000-08-30,-0.005706030306501811,0.005998105198527149,-0.01170413550502896,0.00029207489202533795,0.0014322191755693978,-1
2000-09-27,-0.005623680055385753,0.0060312999026914576,-0.01165497995807721,0.00040761984730570446,-0.0011458964236521,0
2000-10-25,-0.005613323008315936,0.006028450557048676,-0.011641773565364612,0.0004151275487327393,-0.006976206283624296,0
2000-11-22,-0.005592437436114156,0.006019493401402684,-0.01161193083751684,0.00042705596528852877,-0.007593662267250605,0
2000-12-20,-0.005574433648567263,0.0060098715681464335,-0.011584305216713697,0.0004354379195791701,-0.0082679705607724,0
2001-01-17,-0.005704169841700812,0.006101040033644,-0.011805209875344811,0.00039687019194318846,-0.013185911515292803,1
2001-02-14,-0.005874468444014892,0.006239241730288856,-0.012113710174303748,0.00036477328627396426,-0.015128018006154396,1
2001-03-14,-0.006021129579805384,0.00635001273354019,-0.012371142313345573,0.00032888315373480557,-0.014423800417831999,1
2001-04-11,-0.006267580939850708,0.006558883658141639,-0.012826464597992346,0.0002913027182909313,-0.0179171276278317,1
2001-05-09,-0.006587515523269012,0.006772022756114208,-0.013359538279383219,0.0001845072328451958,-0.019100950614475205,1
2001-06-06,-0.006839260603603908,0.0069143857317184474,-0.013753646335322355,7.512512811453948e-05,-0.017054202503398896,1
2001-07-04,-0.007058691189664495,0.00698940658691,-0.014048097776574495,-6.928460275449494e-05,-0.014985239208236502,1
2001-08-01,-0.007219660933492502,0.007033418557843998,-0.014253079491336501,-0.00018624237564850415,-0.013204567199307307,0
2001-08-29,-0.007529868365879071,0.007221923460752731,-0.014751791826631801,-0.0003079449051263403,-0.019688162015885698,1
2001-09-26,-0.007860125795812599,0.007467912493402468,-0.015328038289215067,-0.00039221330241013055,-0.021647273421264997,1
2001-10-24,-0.008365974981426404,0.008139717841893927,-0.01650569282332033,-0.0002262571395324764,-0.0314298676836703,1
2001-11-21,-0.00879819423785317,0.008548668826961859,-0.01734686306481503,-0.000249525410891311,-0.0275629471309597,1
2001-12-19,-0.009099202732301396,0.008632086857253118,-0.017731289589554514,-0.0004671158750482775,-0.0191097762931106,1
2002-01-16,-0.009366786499386003,0.008696344486240327,-0.01806313098562633,-0.0006704420131456758,-0.018230787302748498,1
2002-02-13,-0.009618673891933337,0.008839096248888102,-0.01845777014082144,-0.0007795776430452352,-0.020915163266637997,1
2002-03-13,-0.009836031940473135,0.00895526582858972,-0.018791297769062854,-0.0008807661118834156,-0.0200424195862687,1
2002-04-10,-0.009999828854062401,0.0089729843935707,-0.0189728132476331,-0.001026844460491701,-0.015127687500590098,0
2002-05-08,-0.010166911937343818,0.008972312698862598,-0.019139224636206417,-0.0011945992384812202,-0.014392153077667905,0
2002-06-05,-0.010338474864785107,0.008985469142967063,-0.01932394400775217,-0.0013530057218180437,-0.015388641728907797,0
2002-07-03,-0.010637217632066041,0.009043199347931425,-0.019680416979997464,-0.001594018284134616,-0.019963623604886405,1
2002-07-31,-0.010995304772491813,0.00918827309831704,-0.020183577870808853,-0.0018070316741747722,-0.0237486123361835,1
