date,mean,std,z_score,ci_lower,ci_upper,ci_mid,pnl_no_fees_pred,pnl_pred,signal
2001-08-29,1.60306400679124e-05,2.5365393986885355e-05,-0.3742492908502745,,,,,,0
2001-09-26,1.4069079664424197e-05,2.458770619374962e-05,-0.6099822136786013,,,,,,0
2001-10-24,1.4677518613838101e-05,2.419671570982212e-05,-0.3085699170015536,,,,,,0
2001-11-21,1.4430065871707226e-05,2.4064065105254384e-05,0.38832868760880535,,,,,,0
2001-12-19,1.681219880042568e-05,2.679057472665391e-05,2.156003199109444,,,,,,0
2002-01-16,2.088465416832121e-05,3.119147555552098e-05,2.5978216119857227,,,,,,0
2002-02-13,2.5966198761280192e-05,3.2052028078921354e-05,2.142405517823684,,,,,,0
2002-03-13,2.938965331888966e-05,3.5786489579801015e-05,2.1899539556448024,,,,,,0
2002-04-10,3.557783224689242e-05,4.407015960737815e-05,2.9213798264163895,,,,,,0
2002-05-08,4.2978349557694464e-05,5.1838638276114193e-05,2.718225377589593,,,,,,0
2002-06-05,4.639172136271357e-05,5.480309184615323e-05,1.5910470577519786,,,,,,0
2002-07-03,4.961623055765977e-05,5.6672286598879444e-05,1.2594142019568728,1942.4403075704363,8694.347278342217,5318.393792956326,6698.060674448478,7227.890947965011,1
2002-07-31,5.165824334801513e-05,5.699731277916469e-05,0.6004421675711449,2457.4183689845863,9167.081381734302,5812.249875359445,3489.9199136259417,1782.4087240253702,1
2002-08-28,5.148500375180662e-05,5.704624864523566e-05,-0.3094544803808707,2600.7817446360077,9033.176510019985,5816.979127327996,-1800.0902532336559,0.0,0
2002-09-25,5.1827964683483144e-05,5.676196583005459e-05,-0.72349599251588,2014.788147922835,8368.025312222064,5191.406730072449,-3755.9619647273857,-2332.3392875398486,-1
2002-10-23,5.229231077960052e-05,5.637197782182842e-05,-0.7073911099749061,2316.5976436805186,8384.056574836231,5350.3271092583755,-3784.7738325471128,-2208.9135954415506,-1
2002-11-20,5.2003251790560986e-05,5.659050027846499e-05,-0.7893480319468783,37.19474520312497,7014.885080303477,3526.0399127533005,-2783.2726656979603,-1815.2922413468077,-1
2002-12-18,5.463315769107323e-05,5.39190441997713e-05,-0.39123774496831787,-200.15272857390573,6646.2844749680935,3223.065873197094,-1260.9850241139734,0.0,0
