date,mean,std,low_thresh,high_thresh,fwd_slope,signal
1990-01-03,,,,,,0
1990-01-31,,,,,,0
1990-02-28,,,,,,0
1990-03-28,,,,,,0
1990-04-25,,,,,,0
1990-05-23,,,,,,0
1990-06-20,,,,,,0
1990-07-18,,,,,,0
1990-08-15,,,,,,0
1990-09-12,,,,,,0
1990-10-10,,,,,,0
1990-11-07,,,,,,0
1990-12-05,,,,,,0
1991-01-02,,,,,,0
1991-01-30,,,,,,0
1991-02-27,,,,,,0
1991-03-27,,,,,,0
1991-04-24,,,,,,0
1991-05-22,,,,,,0
1991-06-19,,,,,,0
1991-07-17,,,,,,0
1991-08-14,,,,,,0
1991-09-11,,,,,,0
1991-10-09,,,,,,0
1991-11-06,,,,,,0
1991-12-04,,,,,,0
1992-01-01,,,,,,0
1992-01-29,,,,,,0
1992-02-26,,,,,,0
1992-03-25,,,,,,0
1992-04-22,,,,,,0
1992-05-20,,,,,,0
1992-06-17,,,,,,0
1992-07-15,,,,,,0
1992-08-12,,,,,,0
1992-09-09,,,,,,0
1992-10-07,,,,,,0
1992-11-04,,,,,,0
1992-12-02,,,,,,0
1992-12-30,,,,,,0
1993-01-27,,,,,,0
1993-02-24,,,,,,0
1993-03-24,,,,,,0
1993-04-21,,,,,,0
1993-05-19,,,,,,0
1993-06-16,,,,,,0
1993-07-14,,,,,,0
1993-08-11,,,,,,0
1993-09-08,,,,,,0
1993-10-06,,,,,,0
1993-11-03,,,,,-0.023173193912354,0
1993-12-01,,,,,-0.019629514903417307,0
1993-12-29,,,,,-0.019649921793933503,0
1994-01-26,,,,,-0.01888123200736299,0
1994-02-23,,,,,-0.0195347163895842,0
1994-03-23,,,,,-0.016081804373666395,0
1994-04-20,,,,,-0.013703821583408209,0
1994-05-18,,,,,-0.009611120497494699,0
1994-06-15,,,,,-0.009698241443556105,0
1994-07-13,,,,,-0.00971711980525801,0
1994-08-10,,,,,-0.008214284206585099,0
1994-09-07,,,,,-0.007993155549134504,0
1994-10-05,,,,,-0.009612729860799696,0
1994-11-02,,,,,-0.007342652294098806,0
1994-11-30,,,,,-0.0042604569105419016,0
1994-12-28,,,,,-0.0009603463362065079,0
1995-01-25,,,,,0.003412276926325994,0
1995-02-22,,,,,0.0020630053320210007,0
1995-03-22,,,,,-0.004049875663557204,0
1995-04-19,,,,,-0.006691338552470602,0
1995-05-17,,,,,-0.0090247420367639,0
1995-06-14,,,,,-0.010000953470214104,0
1995-07-12,,,,,-0.013530188114410702,0
1995-08-09,,,,,-0.012591807185785502,0
1995-09-06,,,,,-0.011393641947962892,0
1995-10-04,,,,,-0.011555136447763105,0
1995-11-01,,,,,-0.010534420557204195,0
1995-11-29,,,,,-0.012255849747697105,0
1995-12-27,,,,,-0.014266669450897197,0
1996-01-24,,,,,-0.013671906410950903,0
1996-02-21,,,,,-0.015242366037599,0
1996-03-20,,,,,-0.017299722312126807,0
1996-04-17,,,,,-0.0100514087101565,0
1996-05-15,,,,,-0.008316983607020198,0
1996-06-12,,,,,-0.007347261628745702,0
1996-07-10,,,,,-0.004635350786033193,0
1996-08-07,,,,,-0.004439896178834696,0
1996-09-04,,,,,-0.006952006633702504,0
1996-10-02,,,,,-0.005428109481687107,0
1996-10-30,,,,,-0.007514772731254699,0
1996-11-27,,,,,-0.008679712021743204,0
1996-12-25,,,,,-0.009204167513210793,0
1997-01-22,,,,,-0.006439629472348309,0
1997-02-19,,,,,-0.006272490685822307,0
1997-03-19,,,,,-0.006797421356726299,0
1997-04-16,,,,,-0.0051016569054748995,0
1997-05-14,,,,,-0.002464352276723411,0
1997-06-11,,,,,-0.003963458325984298,0
1997-07-09,,,,,-0.003574848733086,0
1997-08-06,,,,,-0.0048341405202509125,0
1997-09-03,,,,,-0.0035573755317841044,0
1997-10-01,,,,,-0.004473887064721599,0
1997-10-29,,,,,-0.005125710031752398,0
1997-11-26,,,,,-0.0050875457967679005,0
1997-12-24,,,,,-0.0034573345818028,0
1998-01-21,,,,,-0.004316431414348995,0
1998-02-18,,,,,-0.007817018854176495,0
1998-03-18,,,,,-0.0087398010621993,0
1998-04-15,,,,,-0.006610247993948291,0
1998-05-13,,,,,-0.0057038327470341,0
1998-06-10,,,,,-0.006467369501960904,0
1998-07-08,,,,,-0.004428999706277803,0
1998-08-05,,,,,-0.005128081034043296,0
1998-09-02,,,,,-0.0060180150731004994,0
1998-09-30,,,,,-0.009779890317596601,0
1998-10-28,,,,,-0.019851670197518802,0
1998-11-25,,,,,-0.0236004020739808,0
1998-12-23,,,,,-0.014577426533503204,0
1999-01-20,,,,,-0.0156768558055759,0
1999-02-17,,,,,-0.0146237725221142,0
1999-03-17,,,,,-0.012113105622863496,0
1999-04-14,,,,,-0.010570870506292691,0
1999-05-12,,,,,-0.010530885991570496,0
1999-06-09,,,,,-0.008785788879679408,0
1999-07-07,,,,,-0.0038213708398383006,0
1999-08-04,,,,,-0.0021787190134228973,0
1999-09-01,,,,,-0.0038477902831920985,0
1999-09-29,,,,,-0.0057980581127762,0
1999-10-27,,,,,-0.008115952586268904,0
1999-11-24,,,,,-0.00645768357270439,0
1999-12-22,,,,,-0.005256432917503107,0
2000-01-19,,,,,-0.006192907735332598,0
2000-02-16,,,,,-0.0010385345767588011,0
2000-03-15,,,,,0.006697338457166191,0
2000-04-12,,,,,0.004645354284471312,0
2000-05-10,,,,,0.003259234390848992,0
2000-06-07,,,,,0.009745866535470507,0
2000-07-05,,,,,0.005714792803309596,0
2000-08-02,,,,,0.0018161469217934934,0
2000-08-30,,,,,0.0014322191755693978,0
2000-09-27,,,,,-0.0011458964236521,0
2000-10-25,,,,,-0.006976206283624296,0
2000-11-22,,,,,-0.007593662267250605,0
2000-12-20,,,,,-0.0082679705607724,0
2001-01-17,,,,,-0.013185911515292803,0
2001-02-14,,,,,-0.015128018006154396,0
2001-03-14,,,,,-0.014423800417831999,0
2001-04-11,,,,,-0.0179171276278317,0
2001-05-09,,,,,-0.019100950614475205,0
2001-06-06,,,,,-0.017054202503398896,0
2001-07-04,,,,,-0.014985239208236502,0
2001-08-01,-0.008256251800537974,0.006424299319865185,-0.01468055112040316,-0.0018319524806727884,-0.013204567199307307,0
2001-08-29,-0.008222084821160833,0.006353051915749319,-0.014575136736910152,-0.0018690329054115145,-0.019688162015885698,1
2001-09-26,-0.008241866767414242,0.006391946081617672,-0.014633812849031914,-0.0018499206857965703,-0.021647273421264997,1
2001-10-24,-0.008357356432999896,0.006699145542333344,-0.015056501975333241,-0.001658210890666552,-0.0314298676836703,1
2001-11-21,-0.008442471287152807,0.00688670513177252,-0.015329176418925327,-0.0015557661553802869,-0.0275629471309597,1
2001-12-19,-0.008438305207775615,0.006880053814199021,-0.015318359021974636,-0.0015582513935765933,-0.0191097762931106,1
2002-01-16,-0.008459373667864653,0.006906929752665641,-0.015366303420530294,-0.0015524439151990126,-0.018230787302748498,1
2002-02-13,-0.008530073096131612,0.006997457927591737,-0.01552753102372335,-0.001532615168539875,-0.020915163266637997,1
2002-03-13,-0.008632340734256849,0.007089041072575326,-0.015721381806832174,-0.0015432996616815227,-0.0200424195862687,1
2002-04-10,-0.008685570597561103,0.007117451160210423,-0.015803021757771527,-0.0015681194373506797,-0.015127687500590098,0
2002-05-08,-0.008731404257094533,0.007139179258349138,-0.01587058351544367,-0.0015922249987453951,-0.014392153077667905,0
2002-06-05,-0.008801741095548677,0.007169312148365291,-0.015971053243913968,-0.0016324289471833855,-0.015388641728907797,0
2002-07-03,-0.008919098625507028,0.0072534264287958975,-0.016172525054302927,-0.0016656721967111309,-0.019963623604886405,1
2002-07-31,-0.009057685708599028,0.007400365252317683,-0.01645805096091671,-0.0016573204562813446,-0.0237486123361835,1
2002-08-28,-0.009330095742424839,0.007835234969027651,-0.01716533071145249,-0.0014948607733971872,-0.03512847574433149,1
2002-09-25,-0.009618079663319434,0.008179327053277806,-0.01779740671659724,-0.001438752610041628,-0.0336348168417907,1
2002-10-23,-0.009967957124221265,0.008559752840645923,-0.01852770996486719,-0.0014082042835753417,-0.03664784734819321,1
2002-11-20,-0.010358407097035652,0.008846881564528633,-0.019205288661564283,-0.001511525532507019,-0.036413620300741495,1
2002-12-18,-0.010710112988431046,0.009058726976507978,-0.019768839964939024,-0.001651386011923068,-0.0338109955903092,1
2003-01-15,-0.011041722260523024,0.009424224493379254,-0.02046594675390228,-0.0016174977671437694,-0.037874021416938894,1
2003-02-12,-0.011352903550981116,0.009795852761441348,-0.021148756312422464,-0.0015570507895397677,-0.038431830179196096,1
2003-03-12,-0.011647259590005328,0.010169187911716282,-0.02181644750172161,-0.0014780716782890457,-0.0390490580172335,1
2003-04-09,-0.011932335847005754,0.010523964455727022,-0.022456300302732775,-0.001408371391278732,-0.039078731684257496,1
2003-05-07,-0.012193844827207055,0.010889135694654549,-0.023082980521861605,-0.0013047091325525065,-0.040204104094943405,1
2003-06-04,-0.01246338078750135,0.011233885936274392,-0.023697266723775742,-0.001229494851226958,-0.040084475135803696,1
2003-07-02,-0.01276010207628525,0.01159911714708185,-0.024359219223367097,-0.0011609849292034003,-0.041659213403920606,1
2003-07-30,-0.013046290664631938,0.011924646482467336,-0.024970937147099276,-0.0011216441821646026,-0.0407463724591256,1
2003-08-27,-0.013329207497330377,0.012203528099239719,-0.025532735596570096,-0.0011256793980906586,-0.039391937492444705,1
2003-09-24,-0.013528805849939492,0.012351396846024853,-0.025880202695964347,-0.0011774090039146385,-0.032614881713827,1
2003-10-22,-0.01376193971236072,0.012587624675175066,-0.026349564387535787,-0.0011743150371856543,-0.0380463234178624,1
2003-11-19,-0.01397848409422204,0.012774656408631856,-0.026753140502853896,-0.001203827685590183,-0.03575943336080539,1
2003-12-17,-0.01414961955631607,0.012907983142246518,-0.02705760269856259,-0.001241636414069552,-0.03269818317119,1
2004-01-14,-0.014300371006752813,0.013034310473323145,-0.027334681480075958,-0.001266060533429668,-0.03267637025667461,1
2004-02-11,-0.01454948405825216,0.013194134742941148,-0.027743618801193307,-0.0013553493153110122,-0.0354609399630902,1
2004-03-10,-0.014795549439648361,0.013310279169927221,-0.028105828609575584,-0.0014852702697211399,-0.0334156525094325,1
2004-04-07,-0.015077216073576833,0.013454307914958765,-0.028531523988535597,-0.0016229081586180676,-0.0360772582894499,1
2004-05-05,-0.015343742243691139,0.013514544889295365,-0.028858287132986504,-0.0018291973543957743,-0.0318210201376925,1
2004-06-02,-0.015553399023635317,0.013509590404758721,-0.02906298942839404,-0.002043808618876595,-0.025824887733140504,0
2004-06-30,-0.015721136824759313,0.013507952275249865,-0.029229089100009178,-0.0022131845495094483,-0.024061262348350196,0
2004-07-28,-0.015904925989102835,0.013494043988177416,-0.02939896997728025,-0.002410882000925419,-0.0241746042447264,0
2004-08-25,-0.01606559349473022,0.013490719492682225,-0.029556312987412445,-0.0025748740020479968,-0.023902858305248208,0
2004-09-22,-0.016243761320511925,0.01351219695521339,-0.029755958275725317,-0.002731564365298535,-0.026852830251476903,0
2004-10-20,-0.01640076697680854,0.013522627236218682,-0.029923394213027223,-0.0028781397405898586,-0.0252187444554657,0
2004-11-17,-0.016594004791613496,0.01351970270706565,-0.030113707498679147,-0.0030743020845478454,-0.0261498865824538,0
2004-12-15,-0.01675529399960821,0.013493455731275555,-0.030248749730883765,-0.0032618382683326543,-0.022723989901283097,0
