date,mean,std,z_score,ci_lower,ci_upper,ci_mid,pnl_no_fees_pred,pnl_pred,signal
2001-08-29,-0.007529868365879071,0.007221923460752731,-1.6835256862081702,,,,,,0
2001-09-26,-0.007860125795812599,0.007467912493402468,-1.8461849462795208,,,,,,0
2001-10-24,-0.008365974981426404,0.008139717841893927,-2.8335002699402483,,,,,,0
2001-11-21,-0.00879819423785317,0.008548668826961859,-2.195049694044049,,,,,,0
2001-12-19,-0.009099202732301396,0.008632086857253118,-1.159693330981466,,,,,,0
2002-01-16,-0.009366786499386003,0.008696344486240327,-1.019278941558426,,,,,,0
2002-02-13,-0.009618673891933337,0.008839096248888102,-1.278014070287523,,,,,,0
2002-03-13,-0.009836031940473135,0.00895526582858972,-1.139707948502392,,,,,,0
2002-04-10,-0.009999828854062401,0.0089729843935707,-0.5714774952915216,,,,,,0
2002-05-08,-0.010166911937343818,0.008972312698862598,-0.47091996034196537,,,,,,0
2002-06-05,-0.010338474864785107,0.008985469142967063,-0.5620370827354587,,,,,,0
2002-07-03,-0.010637217632066041,0.009043199347931425,-1.031317083035853,-13265.198918532034,-9552.389067881275,-11408.793993206655,11766.084142030848,9526.780100704655,1
2002-07-31,-0.010995304772491813,0.00918827309831704,-1.3879983134183977,-12363.196837979229,-9073.526496871398,-10718.361667425313,14877.06791699474,13006.250205728682,1
2002-08-28,-0.01155512132386164,0.009748788260242067,-2.4180804620208782,-9578.134473680919,-6856.8548291815505,-8217.494651431234,19870.563263386935,19006.853679570304,1
2002-09-25,-0.012013869910865374,0.010213793628819218,-2.116838044379486,-8127.736409546032,-5742.10976274185,-6934.923086143941,14680.109023595089,13051.255492569211,1
2002-10-23,-0.01233687331760911,0.010719578115332862,-2.267903994823326,-7270.14837123724,-5221.428621033659,-6245.788496135449,14164.848681207159,12334.15238024108,1
2002-11-20,-0.012583281360431433,0.01112323349158615,-2.1423931232168987,-6750.495756785417,-4950.399549069122,-5850.44765292727,12533.958819371828,10308.369533795778,1
