date,mean,std,low_thresh,high_thresh,fwd,signal
1990-01-03,,,,,,0
1990-01-31,,,,,0.07689049132038604,0
1990-02-28,,,,,0.08127178905714744,0
1990-03-28,,,,,0.08166218251704203,0
1990-04-25,,,,,0.0833244919231492,0
1990-05-23,,,,,0.08833218314103593,0
1990-06-20,,,,,0.08385379423141587,0
1990-07-18,,,,,0.0831804155163004,0
1990-08-15,,,,,0.08137914726657763,0
1990-09-12,,,,,0.08116848309836104,0
1990-10-10,,,,,0.08320915135093654,0
1990-11-07,,,,,0.0833553811461948,0
1990-12-05,,,,,0.07935649123320264,0
1991-01-02,,,,,0.07680359022609586,0
1991-01-30,,,,,0.07467122092707205,0
1991-02-27,,,,,0.07503875085734227,0
1991-03-27,,,,,0.0746608617907832,0
1991-04-24,,,,,0.07696240530343954,0
1991-05-22,,,,,0.07676474620069583,0
1991-06-19,,,,,0.07721476167306873,0
1991-07-17,,,,,0.0810980886144719,0
1991-08-14,,,,,0.08052058529852357,0
1991-09-11,,,,,0.07305826902304956,0
1991-10-09,,,,,0.07156757246767159,0
1991-11-06,,,,,0.0680377705633748,0
1991-12-04,,,,,0.06667376982942473,0
1992-01-01,,,,,0.06274304554306817,0
1992-01-29,,,,,0.05932190489227299,0
1992-02-26,,,,,0.0643047700395528,0
1992-03-25,,,,,0.0666600076475352,0
1992-04-22,,,,,0.06984135819013657,0
1992-05-20,,,,,0.07009182036585143,0
1992-06-17,,,,,0.06616732289437814,0
1992-07-15,,,,,0.06557524049781673,0
1992-08-12,,,,,0.05928712143964796,0
1992-09-09,,,,,0.056550728338049895,0
1992-10-07,,,,,0.053830553092601895,0
1992-11-04,,,,,0.055748937557171196,0
1992-12-02,,,,,0.0608569527585317,0
1992-12-30,,,,,0.06345281595523906,0
1993-01-27,,,,,0.06033089052751991,0
1993-02-24,,,,,0.0585674875373521,0
1993-03-24,,,,,0.0532442533951158,0
1993-04-21,,,,,0.05349282058948881,0
1993-05-19,,,,,0.05209497283290066,0
1993-06-16,,,,,0.05386578807850476,0
1993-07-14,,,,,0.053064501814973596,0
1993-08-11,,,,,0.05084959977356457,0
1993-09-08,,,,,0.0527548517527478,0
1993-10-06,,,,,0.0473542420367954,0
1993-11-03,,,,,0.048041252808207,0
1993-12-01,,,,,0.0511584516176834,0
1993-12-29,,,,,0.05271365339738584,0
1994-01-26,,,,,0.05261548482672293,0
1994-02-23,,,,,0.052520383769975774,0
1994-03-23,,,,,0.05722404452334623,0
1994-04-20,,,,,0.061216468366241596,0
1994-05-18,,,,,0.06895236101288764,0
1994-06-15,,,,,0.0682363491886958,0
1994-07-13,,,,,0.06890788118666646,0
1994-08-10,,,,,0.0721282761568314,0
1994-09-07,,,,,0.0715737834067331,0
1994-10-05,,,,,0.07130723035542659,0
1994-11-02,,,,,0.07589871127487217,0
1994-11-30,,,,,0.07779217190833136,0
1994-12-28,,,,,0.08058689362735787,0
1995-01-25,,,,,0.08023412072817084,0
1995-02-22,,,,,0.07836715433744328,0
1995-03-22,,,,,0.07215034209756223,0
1995-04-19,,,,,0.07048747121948949,0
1995-05-17,,,,,0.06813589851516667,0
1995-06-14,,,,,0.06282163615903763,0
1995-07-12,,,,,0.057888363105907094,0
1995-08-09,,,,,0.05661150496660903,0
1995-09-06,,,,,0.061462889089086,0
1995-10-04,,,,,0.0589012129729525,0
1995-11-01,,,,,0.058366706402958844,0
1995-11-29,,,,,0.05677656112990643,0
1995-12-27,,,,,0.05518450922678547,0
1996-01-24,,,,,0.05439835536703241,0
1996-02-21,,,,,0.05226789554380856,0
1996-03-20,,,,,0.05548979693924277,0
1996-04-17,,,,,0.0602827133199673,0
1996-05-15,,,,,0.06377458878173153,0
1996-06-12,,,,,0.0642487269853005,0
1996-07-10,,,,,0.0687508351450745,0
1996-08-07,,,,,0.06767358463260123,0
1996-09-04,,,,,0.0637308019381986,0
1996-10-02,,,,,0.06852089450700767,0
1996-10-30,,,,,0.06439104346109929,0
1996-11-27,,,,,0.0611876306993569,0
1996-12-25,,,,,0.059044536667140435,0
1997-01-22,,,,,0.0615916283661088,0
1997-02-19,,,,,0.06353470431208356,0
1997-03-19,,,,,0.06099366564920374,0
1997-04-16,,,,,0.06614431236562186,0
1997-05-14,,,,,0.0683902237011957,0
1997-06-11,,,,,0.06615308174562913,0
1997-07-09,,,,,0.06514163248582677,0
1997-08-06,,,,,0.0615686581076712,0
1997-09-03,,,,,0.06029602140027867,0
1997-10-01,,,,,0.06180056306541829,0
1997-10-29,0.0660466522754203,0.009986519528674305,0.06355002239325172,0.06854328215758887,0.05901248740025023,1
1997-11-26,0.06585076640850562,0.009967651179313057,0.06335885361367737,0.06834267920333388,0.0569101328950892,1
1997-12-24,0.06561579816419964,0.009882653744600754,0.06314513472804946,0.06808646160034983,0.0573050281379373,1
1998-01-21,0.06536928209796189,0.009791613189210714,0.0629213788006592,0.06781718539526457,0.0565175437607908,1
1998-02-18,0.0650736225285011,0.009698948165610228,0.06264888548709854,0.06749835956990366,0.0531672158381494,1
1998-03-18,0.06472959632346224,0.009485786801790031,0.06235814962301474,0.06710104302390975,0.053241510227072374,1
1998-04-15,0.06444430834534463,0.009341413573389608,0.06210895495199723,0.06677966173869204,0.05475442046341853,1
1998-05-13,0.06416990282802813,0.009195545280770906,0.06187101650783541,0.06646878914822085,0.05519105275001873,1
1998-06-10,0.0639164918151626,0.009071924858350998,0.06164851060057484,0.06618447302975035,0.055531223954293364,1
1998-07-08,0.063657538416608,0.00895076714501484,0.06141984663035429,0.06589523020286171,0.05475523644579074,1
1998-08-05,0.06337046952539335,0.008785524625145265,0.06117408836910704,0.06556685068167967,0.053928124447043334,1
1998-09-02,0.0630809369142467,0.00860516515426848,0.060929645625679575,0.06523222820281381,0.053823054809236666,1
1998-09-30,0.06277268720857049,0.008579479954990433,0.06062781721982288,0.0649175571973181,0.04791502125422816,1
1998-10-28,0.06242615914399595,0.008719823798461462,0.060246203194380586,0.06460611509361132,0.04145772763949287,1
1998-11-25,0.06209751464915175,0.00888390843255148,0.05987653754101388,0.06431849175728963,0.041149482452964965,1
1998-12-23,0.06180547387965631,0.008943691051355016,0.05956955111681756,0.06404139664249507,0.045250592368806235,1
1999-01-20,0.06152195189838087,0.008990389667517371,0.05927435448150153,0.06376954931526022,0.04574161970068777,1
1999-02-17,0.061216300311840555,0.008990216337025807,0.0589687462275841,0.063463854396097,0.04578594347632723,1
1999-03-17,0.06093942568387539,0.008941368887979508,0.05870408346188052,0.06317476790587027,0.04852353414825009,1
1999-04-14,0.06066936833887963,0.00886055603826162,0.058454229329314225,0.06288450734844503,0.04966891248350044,1
1999-05-12,0.06036418040238808,0.008684298759285313,0.05819310571256675,0.0625352550922094,0.04996891909233394,1
1999-06-09,0.060094600746488265,0.008476709141826735,0.05797542346103158,0.06221377803194495,0.053023460396743695,1
1999-07-07,0.059936157977277756,0.008382514237965608,0.057840529417786356,0.062031786536769155,0.05689710656357753,1
1999-08-04,0.0598005220278545,0.008304007104908211,0.05772452025162744,0.061876523804081554,0.05773270562649874,0
