date,mean,std,curv_z,ci_lower,ci_upper,ci_mid,pnl_no_fees_pred,pnl_pred,signal
2001-08-29,1.2020187808163e-05,2.797537892943595e-05,-0.19597691476527218,,,,,,0
2001-09-26,1.1586981979570248e-05,2.7998566621245148e-05,-0.4470216614228908,,,,,,0
2001-10-24,1.1506554459998413e-05,2.8005139764942943e-05,-0.15337950249501509,,,,,,0
2001-11-21,1.1238515525793625e-05,2.781545801241412e-05,0.4506960540133794,,,,,,0
2001-12-19,1.2573604036183437e-05,2.9151440788138763e-05,2.1267957227731644,,,,,,0
2002-01-16,1.4200911476088412e-05,3.167294411482318e-05,2.7693551847312774,,,,,,0
2002-02-13,1.6259117041334955e-05,3.33443298956721e-05,2.3504902866210755,,,,,,0
2002-03-13,1.8397401197962083e-05,3.554922471104705e-05,2.513782431578161,,,,,,0
2002-04-10,2.2038712329503923e-05,4.038311448961697e-05,3.523373492599655,,,,,,0
2002-05-08,2.570914770683301e-05,4.5980228435899676e-05,3.440137409782472,,,,,,0
2002-06-05,2.838093924790931e-05,4.81266665533486e-05,2.1860038869660245,,,,,,0
2002-07-03,3.1001777917888875e-05,4.939572161440363e-05,1.8217839986678017,,,,,,0
2002-07-31,3.249727648774285e-05,4.9864239535574903e-05,1.0705980355528741,,,,,,0
2002-08-28,3.380853598031783e-05,4.896014378321045e-05,0.00047488707145926706,,,,,,0
2002-09-25,3.5148535354913134e-05,4.729782463754782e-05,-0.5156183326333673,,,,,,0
2002-10-23,3.5696783475708496e-05,4.685536923212701e-05,-0.49688027307249755,,,,,,0
2002-11-20,3.3916580825743606e-05,4.6120853359784575e-05,-0.5763754813794797,,,,,,0
2002-12-18,3.462269695612297e-05,4.5821872769241556e-05,-0.02367219982644278,,,,,,0
2003-01-15,3.463678933032648e-05,4.581201570866734e-05,-0.6782391077224814,,,,,,0
2003-02-12,3.5053737717137505e-05,4.562303916024673e-05,-0.21239761799822038,,,,,,0
2003-03-12,3.5139935215566336e-05,4.5579233691141774e-05,-0.45044079438144896,,,,,,0
2003-04-09,3.487155462671195e-05,4.5636668935136614e-05,-0.35971976893183155,,,,,,0
2003-05-07,3.5289870981543054e-05,4.5389677130459046e-05,-0.3456526730517435,,,,,,0
2003-06-04,3.471497737707464e-05,4.56763687491918e-05,-0.8085103888229063,1497.7926823016246,4748.07183543085,3122.9322588662376,-2524.9231748835386,-116.97191469902646,-1
2003-07-02,3.3006383190023456e-05,4.721397255711675e-05,-1.7910472384153022,1348.6223982210574,4344.802206786301,2846.7123025036794,-5098.596207962081,-4059.8525028010554,-1
2003-07-30,3.1634498079229596e-05,4.804519534120701e-05,-1.3172342554962944,1573.5804181183744,4418.917889508188,2996.2491538132813,-3946.7620234046394,-2098.8565251613136,-1
2003-08-27,3.186115127062445e-05,4.809655683295889e-05,0.34229954627454917,1385.1271379837647,4229.2875757467955,2807.20735686528,960.9058045535618,0.0,0
2003-09-24,3.223759272890572e-05,4.8317975534581865e-05,0.7742242796725011,1916.433678160386,4759.68484719589,3338.059262678138,2584.4065281511016,0.0,0
2003-10-22,3.2988173910076745e-05,4.797294606136547e-05,-0.05349317332136119,1941.9918325716824,4733.844431909771,3337.9181322407267,-178.55583318046743,0.0,0
2003-11-19,3.3693611864317016e-05,4.82004403680608e-05,0.6887440340927153,1984.7852286355142,4699.915454851747,3342.350341743631,2302.023857723674,0.0,0
2003-12-17,3.506133372999501e-05,4.85986544873105e-05,1.0020341359114884,2379.436236956448,5008.68796694948,3694.062101952964,3701.576326333815,1296.9828278882314,1
2004-01-14,3.6982710355497636e-05,4.89986840390848e-05,1.2032890114865702,2831.9924293453983,5352.777882666331,4092.3851560058647,4924.322088992611,2719.0453160164852,1
2004-02-11,3.863305592009133e-05,4.787362716047377e-05,0.2026041303353805,2859.298806767564,5338.199012769764,4098.748909768664,830.423458326769,0.0,0
2004-03-10,3.969648092290489e-05,4.803720849266028e-05,0.7151168757780526,3122.75615176048,5549.712671530847,4336.234411645663,3100.914405097329,246.7996960067485,1
2004-04-07,3.997371803301266e-05,4.7865096943749527e-05,-0.46226863366944165,3279.3426594650814,5669.723475505587,4474.533067485334,-2068.4362874151807,0.0,0
2004-05-05,4.123890038331718e-05,4.742546692987727e-05,0.3378898395428269,2954.9536960249816,5400.160346947471,4177.557021486226,1411.5540716709909,0.0,0
2004-06-02,4.2619411185348926e-05,4.8563464336325475e-05,1.5238925805936785,806.2014402352161,3300.583332429951,2053.3923863325836,3129.1494225797724,1307.8409607969006,1
2004-06-30,4.3883192912577426e-05,4.926838365749131e-05,1.1972451014920396,523.2137285996034,2906.39223383802,1714.8029812188115,2053.0394692881678,0.0,0
2004-07-28,4.4660224822393554e-05,4.940841794821145e-05,0.5775318559598962,645.4178584834085,2980.6753696793235,1813.046614081366,1047.0921759722169,0.0,0
2004-08-25,4.491303117751265e-05,4.940905626008925e-05,0.13294962112087924,740.5204144048312,3192.477865298716,1966.4991398517736,261.44531557782824,0.0,0
2004-09-22,4.594730773965079e-05,4.905143307767042e-05,0.19732347331692984,740.2110741729471,3159.385102094557,1949.7980881337521,384.74093101726123,0.0,0
2004-10-20,4.649754564483828e-05,4.868896590370098e-05,-0.3603054189341731,766.0755991930807,3146.379672682797,1956.2276359379389,-704.8394178972262,0.0,0
2004-11-17,4.64155259815414e-05,4.8746882851837755e-05,-0.7350493178813547,1608.62675797394,4044.567844018573,2826.5973009962563,-2077.6884180225766,0.0,0
2004-12-15,4.7398711351047615e-05,4.757745314987557e-05,-0.6539364985453506,1813.9146219401098,4195.076347258839,3004.4954845994744,-1964.7492570942968,0.0,0
2005-01-12,4.7459534740652604e-05,4.751560268140818e-05,-0.9653380156646296,2328.5639081707695,4632.893261944238,3480.7285850575036,-3360.0796253665644,-750.4144971470232,-1
2005-02-09,4.660269983092712e-05,4.8061911782065545e-05,-1.0763815414364182,2140.025985980068,4340.111464969251,3240.0687254746595,-3487.550169086345,-949.722377545213,-1
2005-03-09,4.693587738065281e-05,4.7848685003283087e-05,-0.45151035986726146,2667.3141519745095,4962.488243775603,3814.9011978750564,-1722.4674127106134,0.0,0
2005-04-06,4.754810980918844e-05,4.75775363853154e-05,-0.10746931236678588,2670.561061699873,4940.848214596489,3805.704638148181,-408.9964605328727,0.0,0
2005-05-04,4.788126771299519e-05,4.7380505870505726e-05,-0.40193142085916966,2455.2066693302595,4710.501566501875,3582.854117916067,-1440.0616463451317,0.0,0
2005-06-01,4.7058555881931546e-05,4.796987244606396e-05,-1.135618310927536,1101.4083600421382,3330.9029890304882,2216.155674536313,-2516.706963869402,-60.74093514202332,-1
2005-06-29,4.591511498128281e-05,4.825132977865475e-05,-0.8450005847391122,1742.952251595515,3932.3132062306086,2837.632728913062,-2397.80131520638,0.0,0
2005-07-27,4.4915754242976716e-05,4.8690688586886624e-05,-0.9526191542778868,3180.43538406871,5440.452937605604,4310.444160837157,-4106.211671058748,-1460.7861851862353,-1
2005-08-24,4.51009840782666e-05,4.855997290187105e-05,-0.5957864380499939,3282.732896257269,5493.604346771396,4388.168621514333,-2614.411352574776,0.0,0
2005-09-21,4.537779762022066e-05,4.833293281437863e-05,-0.6602636208749534,2987.9380571408424,5157.306413942637,4072.62223554174,-2689.0043036946363,0.0,0
2005-10-19,4.487850379570206e-05,4.886610032501338e-05,-1.3021428391442642,4392.467983887087,6483.830750877329,5438.149367382208,-7081.247256933652,-4720.980291354031,-1
2005-11-16,4.450355406974202e-05,4.9105419642945784e-05,-0.8191785635799846,4712.572511247901,6744.83796651135,5728.7052388796255,-4692.832528758545,-1803.3331858622514,-1
2005-12-14,4.312833471492148e-05,4.924795379544101e-05,-0.8135764932476585,4205.928835660645,6201.16129017514,5203.545062917892,-4233.481944744905,-1323.2255653995553,-1
2006-01-11,4.101390408970227e-05,4.903437799357329e-05,-1.0003135582009854,4291.3626099252415,6199.829070984961,5245.595840455101,-5247.240640049931,-2479.879587110616,-1
