date,1,-1,0,pnl_no_fees,signal,pnl,pnl_pct,pnl_no_fees_pct,long_pnl_pct,short_pnl_pct
2001-08-29,-4586.596335946343,-2118.7291078406397,0,-1233.9336140528517,0,0.0,0.0,-0.06169668070264258,-0.22932981679731715,-0.10593645539203199
2001-09-26,-1714.6230214276347,-4990.702422359345,0,1638.0397004658555,0,0.0,0.0,0.08190198502329277,-0.08573115107138174,-0.24953512111796727
2001-10-24,-4196.1050669062015,-2509.220376880781,0,-843.4423450127105,0,0.0,0.0,-0.04217211725063552,-0.20980525334531008,-0.12546101884403904
2001-11-21,-597.6946222800939,-6107.630821506888,0,2754.9680996133975,0,0.0,0.0,0.13774840498066987,-0.029884731114004696,-0.30538154107534443
2001-12-19,-2342.7182424413527,-4362.60720134563,0,1009.9444794521385,0,0.0,0.0,0.050497223972606926,-0.11713591212206763,-0.21813036006728148
2002-01-16,-6422.084659231599,-283.2407845553871,0,-3069.421937338106,0,0.0,0.0,-0.1534710968669053,-0.32110423296157997,-0.014162039227769355
2002-02-13,-2871.009534729575,-3834.315909057411,0,481.6531871639179,0,0.0,0.0,0.024082659358195896,-0.14355047673647875,-0.19171579545287054
2002-03-13,-1677.8739787029626,-5027.451465084023,0,1674.7887431905306,0,0.0,0.0,0.08373943715952653,-0.08389369893514813,-0.25137257325420115
2002-04-10,-3078.532642837974,-3626.792800949012,0,274.1300790555189,0,0.0,0.0,0.013706503952775943,-0.1539266321418987,-0.1813396400474506
2002-05-08,-8113.420588196832,1408.0951444098455,0,-4760.757866303339,0,0.0,0.0,-0.23803789331516698,-0.40567102940984157,0.07040475722049228
2002-06-05,-5079.5467893997065,-1625.7786543872794,0,-1726.8840675062136,0,0.0,0.0,-0.08634420337531068,-0.25397733946998535,-0.08128893271936398
2002-07-03,-8388.915851736354,1683.5904079493685,0,-5036.253129842861,0,0.0,0.0,-0.25181265649214307,-0.4194457925868177,0.08417952039746843
2002-07-31,-6772.511749981695,67.18630619470878,0,-3419.849028088202,0,0.0,0.0,-0.1709924514044101,-0.3386255874990848,0.003359315309735439
2002-08-28,-2452.688674381413,-4252.6367694055725,0,899.9740475120798,0,0.0,0.0,0.04499870237560399,-0.12263443371907064,-0.21263183847027864
2002-09-25,-5505.365705705844,-1199.959738081142,0,-2152.7029838123512,0,0.0,0.0,-0.10763514919061756,-0.2752682852852922,-0.059997986904057096
2002-10-23,-2157.6929715445262,-4547.63247224246,0,1194.9697503489667,0,0.0,0.0,0.05974848751744834,-0.10788464857722631,-0.227381623612123
2002-11-20,-1047.6537817789203,-5657.671662008062,0,2305.008940114571,0,0.0,0.0,0.11525044700572855,-0.05238268908894602,-0.2828835831004031
2002-12-18,-4482.431380402584,-2222.8940633844,0,-1129.7686585090923,0,0.0,0.0,-0.05648843292545462,-0.22412156902012922,-0.11114470316922
2003-01-15,-3943.5499578420718,-2761.775485944913,0,-590.8872359485795,0,0.0,0.0,-0.029544361797428975,-0.1971774978921036,-0.13808877429724564
2003-02-12,-4040.8444194156314,-2664.4810243713528,0,-688.1816975221393,0,0.0,0.0,-0.034409084876106964,-0.2020422209707816,-0.13322405121856765
2003-03-12,-4549.703014887626,-2155.622428899359,0,-1197.040292994133,0,0.0,0.0,-0.05985201464970665,-0.22748515074438128,-0.10778112144496796
2003-04-09,-3094.0304361194503,-3611.2950076675315,0,258.6322857740407,0,0.0,0.0,0.012931614288702035,-0.1547015218059725,-0.18056475038337658
2003-05-07,-3072.5535742096667,-3632.771869577317,0,280.1091476838251,0,0.0,0.0,0.014005457384191254,-0.15362767871048333,-0.18163859347886582
2003-06-04,-5288.684100731543,-1416.6413430554408,0,-1936.0213788380513,0,0.0,0.0,-0.09680106894190256,-0.26443420503657716,-0.07083206715277204
2003-07-02,-486.38800008679755,-6218.937443700187,0,2866.2747218066947,0,0.0,0.0,0.14331373609033474,-0.024319400004339877,-0.3109468721850094
2003-07-30,-3310.5006427920057,-3394.8248009949766,0,42.162079101485574,0,0.0,0.0,0.002108103955074279,-0.1655250321396003,-0.16974124004974883
2003-08-27,-697.2780030031963,-6008.047440783786,0,2655.384718890295,0,0.0,0.0,0.13276923594451476,-0.03486390015015982,-0.30040237203918935
2003-09-24,-4922.018277063767,-1783.307166723218,0,-1569.3555551702743,0,0.0,0.0,-0.07846777775851373,-0.24610091385318833,-0.08916535833616089
2003-10-22,-2350.4237326386337,-4354.901711148348,0,1002.2389892548571,0,0.0,0.0,0.05011194946274285,-0.11752118663193169,-0.21774508555741742
2003-11-19,-2843.827352439391,-3861.498091347591,0,508.83536945410026,0,0.0,0.0,0.025441768472705014,-0.14219136762196954,-0.19307490456737955
2003-12-17,-3583.8622590081254,-3121.4631847788587,0,-231.19953711463324,0,0.0,0.0,-0.011559976855731662,-0.17919311295040627,-0.15607315923894294
2004-01-14,-4046.3148055992333,-2659.0106381877495,0,-693.6520837057419,0,0.0,0.0,-0.0346826041852871,-0.20231574027996166,-0.13295053190938746
2004-02-11,-3561.598211030908,-3143.727232756074,0,-208.93548913741677,0,0.0,0.0,-0.010446774456870839,-0.17807991055154537,-0.1571863616378037
2004-03-10,-4943.34759008694,-1761.9778537000434,0,-1590.684868193448,0,0.0,0.0,-0.0795342434096724,-0.24716737950434697,-0.08809889268500216
2004-04-07,-1467.0040925689414,-5238.321351218041,0,1885.6586293245498,0,0.0,0.0,0.09428293146622749,-0.07335020462844707,-0.261916067560902
2004-05-05,-339.2494288377625,-6366.07601494922,0,3013.413293055729,0,0.0,0.0,0.15067066465278645,-0.016962471441888123,-0.31830380074746095
2004-06-02,-164.79802844721644,-6540.527415339766,0,3187.864693446275,0,0.0,0.0,0.15939323467231375,-0.00823990142236082,-0.3270263707669883
2004-06-30,-2425.9284868945933,-4279.3969568923885,0,926.7342349988976,0,0.0,0.0,0.04633671174994488,-0.12129642434472966,-0.21396984784461942
2004-07-28,-3674.858393439817,-3030.467050347167,0,-322.1956715463249,0,0.0,0.0,-0.016109783577316242,-0.18374291967199086,-0.15152335251735835
2004-08-25,-5789.198325585965,-916.127118201021,0,-2436.5356036924723,0,0.0,0.0,-0.12182678018462362,-0.28945991627929823,-0.04580635591005105
2004-09-22,-3224.2789809302917,-3481.0464628566942,0,128.38374096320126,0,0.0,0.0,0.006419187048160063,-0.16121394904651457,-0.1740523231428347
2004-10-20,-1926.6764177868638,-4778.649026000122,0,1425.9863041066292,0,0.0,0.0,0.07129931520533145,-0.09633382088934318,-0.2389324513000061
2004-11-17,-1644.700930259487,-5060.6245135274985,0,1707.9617916340057,0,0.0,0.0,0.0853980895817003,-0.08223504651297435,-0.2530312256763749
2004-12-15,5.125267753411663,-6710.450711540395,0,3357.7879896469044,0,0.0,0.0,0.16788939948234521,0.00025626338767058314,-0.3355225355770197
2005-01-12,690.2683537791918,-7395.5937975661745,0,4042.931075672683,0,0.0,0.0,0.20214655378363416,0.03451341768895959,-0.3697796898783087
2005-02-09,-2284.3500309468654,-4420.975412840121,0,1068.312690946628,0,0.0,0.0,0.0534156345473314,-0.11421750154734327,-0.22104877064200604
2005-03-09,-1368.7023248154928,-5336.623118971493,0,1983.9603970780001,0,0.0,0.0,0.09919801985390002,-0.06843511624077464,-0.26683115594857465
2005-04-06,-911.1162631758866,-5794.209180611096,0,2441.5464587176048,0,0.0,0.0,0.12207732293588024,-0.045555813158794325,-0.2897104590305548
2005-05-04,-2797.8152990744006,-3907.5101447125817,0,554.8474228190905,0,0.0,0.0,0.027742371140954524,-0.13989076495372002,-0.19537550723562908
2005-06-01,-3718.4328394216386,-2986.8926043653437,0,-365.77011752814735,0,0.0,0.0,-0.01828850587640737,-0.18592164197108194,-0.1493446302182672
2005-06-29,-1179.8550918984258,-5525.470351888556,0,2172.8076299950653,0,0.0,0.0,0.10864038149975326,-0.058992754594921294,-0.2762735175944278
2005-07-27,-1014.6120940967148,-5690.713349690268,0,2338.050627796776,0,0.0,0.0,0.11690253138983882,-0.050730604704835744,-0.28453566748451337
2005-08-24,-2046.5225528149201,-4658.802890972062,0,1306.140169078571,0,0.0,0.0,0.06530700845392855,-0.10232612764074601,-0.23294014454860312
2005-09-21,2537.278786396516,-9242.604230183499,0,5889.941508290008,0,0.0,0.0,0.2944970754145004,0.12686393931982579,-0.46213021150917494
2005-10-19,-2322.248384464945,-4383.077059322037,0,1030.414337428546,0,0.0,0.0,0.051520716871427306,-0.11611241922324726,-0.21915385296610185
2005-11-16,-1883.4865388866683,-4821.838904900314,0,1469.176183006823,0,0.0,0.0,0.07345880915034116,-0.09417432694433342,-0.24109194524501573
2005-12-14,-99.06826755279553,-6606.257176234187,0,3253.594454340696,0,0.0,0.0,0.1626797227170348,-0.0049534133776397765,-0.33031285881170935
2006-01-11,-6123.7493592441515,-581.5760845428313,0,-2771.08663735066,0,0.0,0.0,-0.13855433186753302,-0.3061874679622076,-0.029078804227141562
2006-02-08,-1460.5596212170258,-5244.765822569957,0,1892.1031006764656,0,0.0,0.0,0.09460515503382327,-0.07302798106085129,-0.26223829112849784
2006-03-08,-1347.697305379088,-5357.628138407894,0,2004.9654165144032,0,0.0,0.0,0.10024827082572016,-0.0673848652689544,-0.2678814069203947
2006-04-05,-2947.735063631608,-3757.590380155374,0,404.92765826188304,0,0.0,0.0,0.020246382913094153,-0.14738675318158043,-0.18787951900776872
2006-05-03,-1972.1733249827828,-4733.1521188042,0,1380.4893969107084,0,0.0,0.0,0.06902446984553542,-0.09860866624913914,-0.23665760594021
